code,name,market,industry_name,industry_code
4906,正文,listed,通信網路業,24
4912,聯德控股-KY,listed,電子零組件業,31
4915,致伸,listed,電子零組件業,31
4916,事欣科,listed,電腦及週邊設備業,33
4919,新唐,listed,半導體業,5
4927,泰鼎-KY,listed,電子零組件業,31
4930,燦星網,listed,電器電纜,29
4934,太極,listed,光電業,1
4935,茂林-KY,listed,光電業,1
4938,和碩,listed,電腦及週邊設備業,33
4942,嘉彰,listed,光電業,1
4943,康控-KY,listed,電子零組件業,31
4949,有成精密,listed,光電業,1
4952,凌通,listed,半導體業,5
4956,光鋐,listed,光電業,1
4958,臻鼎-KY,listed,電子零組件業,31
4960,誠美材,listed,光電業,1
4961,天鈺,listed,半導體業,5
4967,十銓,listed,半導體業,5
4968,立積,listed,半導體業,5
4976,佳凌,listed,光電業,1
4977,眾達-KY,listed,通信網路業,24
4989,榮科,listed,電子零組件業,31
4994,傳奇,listed,資訊服務業,22
4999,鑫禾,listed,電子零組件業,31
5007,三星,listed,鋼鐵工業,28
5203,訊連,listed,資訊服務業,22
5215,科嘉-KY,listed,電腦及週邊設備業,33
5222,全訊,listed,半導體業,5
5225,東科-KY,listed,其他電子業,3
5234,達興材料,listed,光電業,1
5243,乙盛-KY,listed,光電業,1
5244,弘凱,listed,光電業,1
5258,虹堡,listed,電腦及週邊設備業,33
5269,祥碩,listed,半導體業,5
5283,禾聯碩,listed,電器電纜,29
5284,jpp-KY,listed,其他業,2
